Segment,Day,From,To,AvgSpeed,BusCount
Shaul4,22,15:31:00,15:46:00,0,2
Shaul1,22,15:46:00,16:01:00,25.887050897144807,7
Shaul2,22,15:46:00,16:01:00,26.294592196152692,6
Shaul3,22,15:46:00,16:01:00,0,3
Shaul4,22,15:46:00,16:01:00,9.623376823066263,6
Shaul1,22,16:01:00,16:16:00,2.8763389885716455,3
Shaul2,22,16:01:00,16:16:00,26.294592196152692,5
Shaul3,22,16:01:00,16:16:00,0,3
Shaul4,22,16:01:00,16:16:00,9.623376823066263,5
Shaul1,22,16:16:00,16:31:00,0,5
Shaul2,22,16:16:00,16:31:00,0,2
Shaul3,22,16:16:00,16:31:00,0,2
Shaul4,22,16:16:00,16:31:00,0,1
Shaul1,22,16:31:00,16:46:00,25.887050897144807,7
Shaul2,22,16:31:00,16:46:00,26.294592196152692,4
Shaul3,22,16:31:00,16:46:00,0,3
Shaul4,22,16:31:00,16:46:00,7.217532617299697,6
Shaul1,22,16:46:00,17:01:00,0,6
Shaul2,22,16:46:00,17:01:00,26.294592196152692,4
Shaul3,22,16:46:00,17:01:00,0,2
Shaul4,22,16:46:00,17:01:00,0,4
Shaul1,22,17:01:00,17:05:00,0,1
Shaul1,21,00:00:00,00:15:00,0,6
Shaul2,21,00:00:00,00:15:00,26.294592196152692,3
Shaul3,21,00:00:00,00:15:00,0,1
Shaul4,21,00:00:00,00:15:00,9.623376823066263,2
Shaul1,21,00:15:00,00:30:00,25.887050897144807,3
Shaul2,21,00:15:00,00:30:00,26.294592196152692,3
Shaul4,21,00:15:00,00:30:00,4.811688411533131,3
Shaul1,21,00:30:00,00:45:00,0,3
Shaul2,21,00:30:00,00:45:00,0,3
Shaul3,21,00:30:00,00:45:00,0,1
Shaul4,21,00:30:00,00:45:00,0,2
Shaul1,21,00:45:00,01:00:00,0,2
Shaul2,21,00:45:00,01:00:00,0,1
Shaul1,21,05:00:00,05:15:00,0,1
Shaul1,21,05:15:00,05:30:00,0,2
Shaul2,21,05:15:00,05:30:00,0,2
Shaul4,21,05:15:00,05:30:00,0,2
Shaul1,21,05:30:00,05:45:00,0,7
Shaul2,21,05:30:00,05:45:00,0,5
Shaul3,21,05:30:00,05:45:00,0,1
Shaul4,21,05:30:00,05:45:00,9.623376823066263,4
Shaul1,21,05:45:00,06:00:00,0,10
Shaul2,21,05:45:00,06:00:00,0,5
Shaul3,21,05:45:00,06:00:00,0,3
Shaul4,21,05:45:00,06:00:00,0,7
Shaul1,21,06:00:00,06:15:00,0,11
Shaul2,21,06:00:00,06:15:00,0,12
Shaul3,21,06:00:00,06:15:00,0,5
Shaul4,21,06:00:00,06:15:00,8.019480685888553,11
Shaul1,21,06:15:00,06:30:00,25.887050897144807,13
Shaul2,21,06:15:00,06:30:00,26.294592196152692,7
Shaul3,21,06:15:00,06:30:00,0,2
Shaul4,21,06:15:00,06:30:00,0,5
Shaul1,21,06:30:00,06:45:00,25.887050897144807,16
Shaul2,21,06:30:00,06:45:00,13.147296098076346,13
Shaul3,21,06:30:00,06:45:00,0,4
Shaul4,21,06:30:00,06:45:00,9.623376823066263,19
Shaul1,21,06:45:00,07:00:00,25.887050897144807,24
Shaul2,21,06:45:00,07:00:00,0,17
Shaul3,21,06:45:00,07:00:00,0,8
Shaul4,21,06:45:00,07:00:00,9.623376823066263,17
Shaul1,21,07:00:00,07:15:00,25.887050897144807,21
Shaul2,21,07:00:00,07:15:00,0,19
Shaul3,21,07:00:00,07:15:00,0,9
Shaul4,21,07:00:00,07:15:00,9.623376823066263,22
Shaul1,21,07:15:00,07:30:00,25.887050897144807,23
Shaul2,21,07:15:00,07:30:00,26.294592196152692,25
Shaul3,21,07:15:00,07:30:00,0,3
Shaul4,21,07:15:00,07:30:00,9.623376823066263,21
Shaul1,21,07:30:00,07:45:00,25.887050897144807,26
Shaul2,21,07:30:00,07:45:00,26.294592196152692,20
Shaul3,21,07:30:00,07:45:00,0,6
Shaul4,21,07:30:00,07:45:00,8.420454720182981,22
Shaul1,21,07:45:00,08:00:00,22.651169535001706,26
Shaul2,21,07:45:00,08:00:00,26.294592196152692,20
Shaul3,21,07:45:00,08:00:00,0,6
Shaul4,21,07:45:00,08:00:00,8.935992764275815,21
Shaul1,21,08:00:00,08:15:00,25.887050897144807,16
Shaul2,21,08:00:00,08:15:00,26.294592196152692,13
Shaul3,21,08:00:00,08:15:00,0,2
Shaul4,21,08:00:00,08:15:00,9.623376823066263,11
Shaul1,21,08:15:00,08:30:00,21.57254241428734,20
Shaul2,21,08:15:00,08:30:00,26.294592196152692,20
Shaul3,21,08:15:00,08:30:00,0,4
Shaul4,21,08:15:00,08:30:00,9.623376823066263,20
Shaul1,21,08:30:00,08:45:00,25.887050897144807,17
Shaul2,21,08:30:00,08:45:00,26.294592196152692,16
Shaul3,21,08:30:00,08:45:00,0,5
Shaul4,21,08:30:00,08:45:00,6.415584548710842,21
Shaul1,21,08:45:00,09:00:00,25.887050897144807,16
Shaul2,21,08:45:00,09:00:00,26.294592196152692,9
Shaul3,21,08:45:00,09:00:00,0,7
Shaul4,21,08:45:00,09:00:00,9.623376823066263,13
Shaul1,21,09:00:00,09:15:00,22.651169535001706,19
Shaul2,21,09:00:00,09:15:00,26.294592196152692,17
Shaul3,21,09:00:00,09:15:00,0,7
Shaul4,21,09:00:00,09:15:00,9.623376823066263,16
Shaul1,21,09:15:00,09:30:00,25.887050897144807,14
Shaul2,21,09:15:00,09:30:00,26.294592196152692,14
Shaul3,21,09:15:00,09:30:00,0,7
Shaul4,21,09:15:00,09:30:00,9.623376823066263,13
Shaul1,21,09:30:00,09:45:00,25.887050897144807,15
Shaul2,21,09:30:00,09:45:00,26.29459219615269,18
Shaul3,21,09:30:00,09:45:00,0,5
Shaul4,21,09:30:00,09:45:00,8.420454720182981,17
Shaul1,21,09:45:00,10:00:00,25.887050897144807,13
Shaul2,21,09:45:00,10:00:00,26.294592196152692,16
Shaul3,21,09:45:00,10:00:00,0,4
Shaul4,21,09:45:00,10:00:00,9.623376823066263,13
Shaul1,21,10:00:00,10:15:00,25.887050897144807,17
Shaul2,21,10:00:00,10:15:00,24.103376179806634,20
Shaul3,21,10:00:00,10:15:00,0,5
Shaul4,21,10:00:00,10:15:00,9.623376823066263,16
Shaul1,21,10:15:00,10:30:00,22.651169535001706,21
Shaul2,21,10:15:00,10:30:00,26.294592196152692,19
Shaul3,21,10:15:00,10:30:00,0,8
Shaul4,21,10:15:00,10:30:00,9.623376823066263,16
Shaul1,21,10:30:00,10:45:00,25.887050897144807,16
Shaul2,21,10:30:00,10:45:00,26.294592196152692,15
Shaul3,21,10:30:00,10:45:00,0,6
Shaul4,21,10:30:00,10:45:00,0,12
Shaul1,21,10:45:00,11:00:00,25.887050897144807,20
Shaul2,21,10:45:00,11:00:00,19.72094414711452,20
Shaul3,21,10:45:00,11:00:00,0,4
Shaul4,21,10:45:00,11:00:00,9.623376823066263,16
Shaul1,21,11:00:00,11:15:00,20.709640717715846,19
Shaul2,21,11:00:00,11:15:00,26.294592196152692,18
Shaul3,21,11:00:00,11:15:00,0,4
Shaul4,21,11:00:00,11:15:00,9.623376823066263,14
Shaul1,21,11:15:00,11:30:00,22.651169535001706,12
Shaul2,21,11:15:00,11:30:00,26.29459219615269,14
Shaul3,21,11:15:00,11:30:00,0,2
