SHAPE_ID  ,SHAPE_PT_LAT  ,SHAPE_PT_LON  ,SHAPE_PT_SEQUENCE  
82428,32.080055,34.78495,90
82428,32.080042,34.785172,91
82428,32.08,34.78563,92
82428,32.079968,34.786155,93
82428,32.079914,34.786808,94
82428,32.079902,34.786953,95
82428,32.079813,34.78802,96
82428,32.079769,34.788556,97
82428,32.079296,34.788495,98
82428,32.078711,34.788421,99
82428,32.078548,34.788389,100
82428,32.078355,34.78836,101
82428,32.078304,34.78836,102
82428,32.078044,34.788359,103
82428,32.077907,34.788384,104
82428,32.077786,34.788414,105
82428,32.077603,34.788497,106
82428,32.077268,34.788643,107
82428,32.076999,34.788781,108
82428,32.076655,34.787775,109
82428,32.076436,34.787145,110
82428,32.076022,34.785906,111
82428,32.075893,34.785417,112
82428,32.075773,34.784833,113
82428,32.075718,34.784443,114
82428,32.07571,34.784356,115
82428,32.0757,34.784239,116
82428,32.075671,34.783912,117
82428,32.075639,34.783406,118
82428,32.075527,34.783416,119
82428,32.075394,34.783437,120
82428,32.075267,34.783448,121
82428,32.075213,34.783452,122
82428,32.074861,34.783485,123
82428,32.074773,34.783498,124
82428,32.074563,34.783521,125
82428,32.074371,34.783542,126
82428,32.074159,34.783555,127
82428,32.073515,34.783599,128
82428,32.073412,34.783603,129
82428,32.073168,34.783597,130
82428,32.073014,34.783596,131
82428,32.072796,34.783547,132
82428,32.0727,34.783518,133
82428,32.072334,34.783259,134
82428,32.071963,34.78289,135
82428,32.071794,34.782724,136
82428,32.071335,34.782289,137
82428,32.071024,34.781963,138
82428,32.070804,34.781769,139
82428,32.070632,34.781629,140
82428,32.070284,34.781404,141
82428,32.069881,34.781147,142
82428,32.069685,34.781917,143
82428,32.0696,34.782512,144
82428,32.069589,34.782563,145
82428,32.069576,34.782841,146
82428,32.069558,34.78293,147
82428,32.069553,34.783107,148
82428,32.069544,34.78333,149
82428,32.069531,34.783518,150
82428,32.06949,34.783937,151
82428,32.069483,34.783988,152
82428,32.069349,34.785817,153
82428,32.069331,34.78607,154
82428,32.069293,34.786517,155
82428,32.069287,34.786614,156
82428,32.069245,34.787087,157
82428,32.069236,34.787218,158
82428,32.069245,34.787463,159
82428,32.069243,34.78753,160
82428,32.069249,34.787605,161
82428,32.06927,34.787697,162
82428,32.06906,34.787625,163
82428,32.069038,34.787617,164
82428,32.068758,34.787513,165
82428,32.068449,34.787383,166
82428,32.06824,34.787295,167
82428,32.068028,34.78719,168
82428,32.067914,34.787134,169
82428,32.067652,34.787032,170
82428,32.067568,34.787002,171
82428,32.06717,34.78687,172
82428,32.066518,34.78665,173
82428,32.066333,34.786588,174
82428,32.065892,34.786441,175
82428,32.065732,34.786385,176
82428,32.065666,34.786313,177
82428,32.065625,34.78626,178
82428,32.065561,34.786162,179
82428,32.065492,34.785972,180
82428,32.065459,34.785877,181
82428,32.065497,34.78571,182
82428,32.065557,34.78544,183
82428,32.065658,34.784988,184
82428,32.065557,34.78544,185
82428,32.065497,34.78571,186
82428,32.065459,34.785877,187
82428,32.06543,34.786002,188
82428,32.06537,34.786266,189
82428,32.065346,34.786365,190
82428,32.065294,34.786691,191
82428,32.065226,34.787096,192
82428,32.065105,34.787718,193
82428,32.065039,34.788141,194
82428,32.065001,34.788211,195
82428,32.064938,34.788463,196
82428,32.064865,34.78875,197
82428,32.064853,34.78881,198
82428,32.064842,34.788865,199
82428,32.064742,34.789357,200
82428,32.064726,34.789445,201
82428,32.064555,34.790354,202
82428,32.064464,34.790868,203
82428,32.064385,34.791316,204
82428,32.064299,34.7918,205
82428,32.064232,34.792197,206
82428,32.064208,34.79233,207
82428,32.064175,34.79252,208
82428,32.064079,34.793039,209
82428,32.063968,34.793733,210
82428,32.063923,34.794191,211
82428,32.06389,34.794663,212
82428,32.063855,34.795208,213
82428,32.06385,34.795715,214
82428,32.063853,34.796077,215
82428,32.06388,34.796676,216
82428,32.063891,34.796807,217
82428,32.063915,34.7971,218
82428,32.063948,34.797397,219
82428,32.063976,34.797703,220
82428,32.064049,34.798159,221
82428,32.064159,34.798757,222
82428,32.064136,34.798842,223
82428,32.064119,34.79893,224
82428,32.064107,34.798954,225
82428,32.064088,34.798991,226
82428,32.064039,34.799035,227
82428,32.063846,34.799131,228
82428,32.063208,34.799333,229
82428,32.062699,34.799542,230
82428,32.062236,34.799703,231
82428,32.061914,34.799813,232
82428,32.061565,34.799932,233
82428,32.06105,34.800076,234
82428,32.060089,34.800229,235
82428,32.059605,34.800276,236
82428,32.059176,34.80026,237
82428,32.058836,34.800282,238
82428,32.058194,34.800306,239
82428,32.058061,34.800303,240
82428,32.057434,34.800288,241
82428,32.05608,34.800217,242
82428,32.055228,34.800153,243
82428,32.054787,34.800117,244
82428,32.054412,34.800065,245
82428,32.053418,34.79999,246
82428,32.053323,34.799982,247
82428,32.052865,34.799964,248
82428,32.051846,34.799843,249
82428,32.051618,34.799807,250
82428,32.050679,34.799635,251
82428,32.049999,34.799503,252
82428,32.049938,34.799491,253
82428,32.049042,34.799318,254
82428,32.048391,34.799185,255
82428,32.047544,34.799047,256
82428,32.046988,34.798963,257
82428,32.04691,34.79895,258
82428,32.046885,34.799108,259
82428,32.046847,34.799353,260
82428,32.046672,34.800236,261
82428,32.046527,34.801009,262
82428,32.046508,34.801109,263
82428,32.04609,34.803215,264
82428,32.04598,34.803728,265
82428,32.045894,34.804201,266
82428,32.045819,34.804572,267
82428,32.045797,34.804676,268
82428,32.045645,34.805576,269
82428,32.045519,34.806232,270
82428,32.045494,34.806342,271
82428,32.045319,34.807302,272
82428,32.04528,34.807532,273
82428,32.045159,34.808288,274
82428,32.04508,34.808993,275
82428,32.045063,34.809309,276
82428,32.045061,34.809478,277
82428,32.045052,34.809598,278
82428,32.045114,34.809613,279
82428,32.045332,34.809668,280
82428,32.045358,34.809674,281
82428,32.045627,34.809766,282
82428,32.045824,34.809833,283
82428,32.045936,34.80987,284
82428,32.046002,34.809891,285
82428,32.046184,34.809938,286
82428,32.046235,34.809951,287
82428,32.046609,34.810014,288
82428,32.046656,34.810023,289
82428,32.046728,34.810036,290
82428,32.046887,34.810055,291
82428,32.046932,34.810061,292
82428,32.047446,34.810123,293
82428,32.047622,34.810119,294
82428,32.047736,34.810115,295
82428,32.047812,34.810112,296
82428,32.047966,34.810108,297
82428,32.0481,34.810105,298
82428,32.048394,34.810079,299
82428,32.048642,34.810048,300
82428,32.048723,34.810039,301
82428,32.048818,34.810029,302
82428,32.049056,34.810007,303
82428,32.049084,34.810052,304
82428,32.049106,34.810073,305
82428,32.049149,34.810095,306
82428,32.049207,34.810585,307
82428,32.049273,34.8111,308
82428,32.049345,34.811621,309
82428,32.04936,34.811754,310
82428,32.049338,34.81178,312
82428,32.049327,34.811805,313
82428,32.049322,34.811831,314
82428,32.049323,34.811866,315
82428,32.049329,34.811886,316
82428,32.049331,34.811892,317
82428,32.049341,34.811909,318
82428,32.049353,34.811925,319
82428,32.049372,34.811941,320
82428,32.049389,34.811949,321
82428,32.049436,34.812353,323
82428,32.04945,34.812477,324
82428,32.049522,34.813063,325
82428,32.049572,34.813441,326
82428,32.049614,34.813767,327
82428,32.049623,34.813835,328
82428,32.048231,34.813867,329
82428,32.048068,34.813855,330
